id,disc_number,duration_ms,explicit,name,track_number,type,popularity,artist_external_urls,artist_href,artist_id,artist_name,artist_type,artist_uri,album_id,album_album_type,album_name,album_release_date,album_release_date_precision,album_total_tracks,album_type,album_artist_external_urls,album_artist_href,album_artist_id,album_artist_name,album_artist_type,album_artist_uri,added_date
1gBly576DStphc1hAropbT,1,245053,False,Is It Enough,1,track,39,https://open.spotify.com/artist/3LfKt6bEMIfFIEryeai8Mm,https://api.spotify.com/v1/artists/3LfKt6bEMIfFIEryeai8Mm,3LfKt6bEMIfFIEryeai8Mm,Alabaster DePlume,artist,spotify:artist:3LfKt6bEMIfFIEryeai8Mm,4sRXcwlHnu8pW4SFoYGsB0,album,The Corner of a Sphere,2018-05-04,day,10,album,https://open.spotify.com/artist/3LfKt6bEMIfFIEryeai8Mm,https://api.spotify.com/v1/artists/3LfKt6bEMIfFIEryeai8Mm,3LfKt6bEMIfFIEryeai8Mm,Alabaster DePlume,artist,spotify:artist:3LfKt6bEMIfFIEryeai8Mm,2020-11-30T14:55:31Z
3sAVPMPtsrSVVoczX82keF,1,225026,False,Blue Bell,1,track,42,https://open.spotify.com/artist/4T3jyyAF02vNapy2bdzMjn,https://api.spotify.com/v1/artists/4T3jyyAF02vNapy2bdzMjn,4T3jyyAF02vNapy2bdzMjn,Golden Daze,artist,spotify:artist:4T3jyyAF02vNapy2bdzMjn,2lK6kmV26bYb9CcTFvrmLz,album,Simpatico,2019-02-15,day,11,album,https://open.spotify.com/artist/4T3jyyAF02vNapy2bdzMjn,https://api.spotify.com/v1/artists/4T3jyyAF02vNapy2bdzMjn,4T3jyyAF02vNapy2bdzMjn,Golden Daze,artist,spotify:artist:4T3jyyAF02vNapy2bdzMjn,2020-11-30T14:47:44Z
1PdJvxvhuImI0dpuWoPwWe,1,116061,False,hammock,3,track,52,https://open.spotify.com/artist/0DJoMHFNyxWdoGqi8XMdfk,https://api.spotify.com/v1/artists/0DJoMHFNyxWdoGqi8XMdfk,0DJoMHFNyxWdoGqi8XMdfk,mommy,artist,spotify:artist:0DJoMHFNyxWdoGqi8XMdfk,1algiZiHrfsA4siGIdUZRq,single,hometown,2018-07-03,day,4,album,https://open.spotify.com/artist/0DJoMHFNyxWdoGqi8XMdfk,https://api.spotify.com/v1/artists/0DJoMHFNyxWdoGqi8XMdfk,0DJoMHFNyxWdoGqi8XMdfk,mommy,artist,spotify:artist:0DJoMHFNyxWdoGqi8XMdfk,2020-11-30T14:47:12Z
7kvKLKkWZGyPWxPtRkGH5l,1,235572,False,Il cielo in una stanza,1,track,35,https://open.spotify.com/artist/34Ai24gPz5YJ8NbksiNFef,https://api.spotify.com/v1/artists/34Ai24gPz5YJ8NbksiNFef,34Ai24gPz5YJ8NbksiNFef,Mike Patton,artist,spotify:artist:34Ai24gPz5YJ8NbksiNFef,3nwFif277CXx1cQN0nOCZy,album,Mondo cane,2010-05-04,day,11,album,https://open.spotify.com/artist/34Ai24gPz5YJ8NbksiNFef,https://api.spotify.com/v1/artists/34Ai24gPz5YJ8NbksiNFef,34Ai24gPz5YJ8NbksiNFef,Mike Patton,artist,spotify:artist:34Ai24gPz5YJ8NbksiNFef,2020-11-27T01:08:31Z
6mW2IiQDrp66AUjCsRu6Kg,1,214826,False,Places,4,track,54,https://open.spotify.com/artist/1Dt1UKLtrJIW1xxRBejjos,https://api.spotify.com/v1/artists/1Dt1UKLtrJIW1xxRBejjos,1Dt1UKLtrJIW1xxRBejjos,The Blaze,artist,spotify:artist:1Dt1UKLtrJIW1xxRBejjos,6WbMZYQ1SAU8HrgZSuH0xJ,album,Dancehall,2018-09-07,day,10,album,https://open.spotify.com/artist/1Dt1UKLtrJIW1xxRBejjos,https://api.spotify.com/v1/artists/1Dt1UKLtrJIW1xxRBejjos,1Dt1UKLtrJIW1xxRBejjos,The Blaze,artist,spotify:artist:1Dt1UKLtrJIW1xxRBejjos,2019-12-10T22:05:02Z
4FCsUrpc6BHM3Qg5WyMXGK,1,238834,False,Risk,2,track,45,https://open.spotify.com/artist/2FwDTncULUnmANIh7qKa5z,https://api.spotify.com/v1/artists/2FwDTncULUnmANIh7qKa5z,2FwDTncULUnmANIh7qKa5z,FKJ,artist,spotify:artist:2FwDTncULUnmANIh7qKa5z,6FqMq0fTs08MG0vf2P7qNx,single,Ylang Ylang EP,2019-11-12,day,6,album,https://open.spotify.com/artist/2FwDTncULUnmANIh7qKa5z,https://api.spotify.com/v1/artists/2FwDTncULUnmANIh7qKa5z,2FwDTncULUnmANIh7qKa5z,FKJ,artist,spotify:artist:2FwDTncULUnmANIh7qKa5z,2019-12-07T00:22:56Z
3L3DFS26cSCCzxcg5QXYpY,1,239640,False,This Is My Rock,6,track,27,https://open.spotify.com/artist/1kR99O4MgSTasyeJh8UFCg,https://api.spotify.com/v1/artists/1kR99O4MgSTasyeJh8UFCg,1kR99O4MgSTasyeJh8UFCg,DJ Koze,artist,spotify:artist:1kR99O4MgSTasyeJh8UFCg,0sT4nyNxsvGNQr1O8OR83O,album,Knock Knock,2018-05-04,day,16,album,https://open.spotify.com/artist/1kR99O4MgSTasyeJh8UFCg,https://api.spotify.com/v1/artists/1kR99O4MgSTasyeJh8UFCg,1kR99O4MgSTasyeJh8UFCg,DJ Koze,artist,spotify:artist:1kR99O4MgSTasyeJh8UFCg,2020-01-03T16:16:12Z
23PIMIlFx1FeiCmmIf1RgZ,1,329280,False,Tondo,2,track,55,https://open.spotify.com/artist/6nS5roXSAGhTGr34W6n7Et,https://api.spotify.com/v1/artists/6nS5roXSAGhTGr34W6n7Et,6nS5roXSAGhTGr34W6n7Et,Disclosure,artist,spotify:artist:6nS5roXSAGhTGr34W6n7Et,6BcSwoWKyFgB4CoVIYLxac,single,Ecstasy,2020-02-28,day,5,album,https://open.spotify.com/artist/6nS5roXSAGhTGr34W6n7Et,https://api.spotify.com/v1/artists/6nS5roXSAGhTGr34W6n7Et,6nS5roXSAGhTGr34W6n7Et,Disclosure,artist,spotify:artist:6nS5roXSAGhTGr34W6n7Et,2020-03-01T00:20:07Z
4jXl6VtkFFKIt3ycUQc5LT,1,170360,False,Circles,1,track,69,https://open.spotify.com/artist/4LLpKhyESsyAXpc4laK94U,https://api.spotify.com/v1/artists/4LLpKhyESsyAXpc4laK94U,4LLpKhyESsyAXpc4laK94U,Mac Miller,artist,spotify:artist:4LLpKhyESsyAXpc4laK94U,5sY6UIQ32GqwMLAfSNEaXb,album,Circles,2020-01-17,day,12,album,https://open.spotify.com/artist/4LLpKhyESsyAXpc4laK94U,https://api.spotify.com/v1/artists/4LLpKhyESsyAXpc4laK94U,4LLpKhyESsyAXpc4laK94U,Mac Miller,artist,spotify:artist:4LLpKhyESsyAXpc4laK94U,2020-01-17T11:54:25Z
4SkTfsjWUy2rp40d2Ayfmv,1,255049,False,Tired Boy,1,track,54,https://open.spotify.com/artist/44insiIQApkRaCMIbuaISJ,https://api.spotify.com/v1/artists/44insiIQApkRaCMIbuaISJ,44insiIQApkRaCMIbuaISJ,Joey Pecoraro,artist,spotify:artist:44insiIQApkRaCMIbuaISJ,1ciwJFdYoPJSWn1G2IzDGm,album,Tired Boy,2017-02-22,day,9,album,https://open.spotify.com/artist/44insiIQApkRaCMIbuaISJ,https://api.spotify.com/v1/artists/44insiIQApkRaCMIbuaISJ,44insiIQApkRaCMIbuaISJ,Joey Pecoraro,artist,spotify:artist:44insiIQApkRaCMIbuaISJ,2019-11-29T16:30:16Z
