,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
0,Is It Enough,The Corner of a Sphere,Alabaster DePlume,2018-05-04,245053,40,0.413,0.901,0.413,0.473,0.121,0.106,-9.553,0.0306,133.584,4
1,Blue Bell,Simpatico,Golden Daze,2019-02-15,225026,40,0.228,0.654,0.228,0.294,0.606,0.124,-14.715,0.0317,139.812,4
2,hammock,hometown,mommy,2018-07-03,116061,52,0.709,0.471,0.709,0.206,0.848,0.142,-10.667,0.125,159.804,4
3,Il cielo in una stanza,Mondo cane,Mike Patton,2010-05-04,235572,36,0.254,0.0374,0.254,0.473,0.0123,0.279,-13.948,0.0417,93.194,4
4,Places,Dancehall,The Blaze,2018-09-07,214826,54,0.771,0.493,0.771,0.448,0.708,0.108,-9.513,0.0446,99.994,4
5,Risk,Ylang Ylang EP,FKJ,2019-11-12,238834,45,0.761,0.957,0.761,0.359,0.000141,0.147,-12.326,0.0703,103.067,4
6,This Is My Rock,Knock Knock,DJ Koze,2018-05-04,239640,27,0.608,0.417,0.608,0.448,7.67e-05,0.0924,-10.254,0.049,121.406,4
7,Tondo,Ecstasy,Disclosure,2020-02-28,329280,56,0.675,0.0123,0.675,0.92,0.114,0.329,-7.153,0.054,132.0,4
8,Circles,Circles,Mac Miller,2020-01-17,170360,69,0.61,0.896,0.61,0.0316,0.00461,0.108,-15.186,0.0486,151.964,4
9,Tired Boy,Tired Boy,Joey Pecoraro,2017-02-22,255049,54,0.661,0.616,0.661,0.391,0.856,0.0878,-4.24,0.0413,82.819,4
10,What Once Was,Songs of Her's,Her's,2017-05-12,255067,68,0.526,0.172,0.526,0.877,0.0108,0.223,-4.369,0.033,145.568,3
11,Bloodless,My Finest Work Yet,Andrew Bird,2019-03-22,389160,54,0.547,0.571,0.547,0.662,0.00146,0.122,-5.196,0.0293,82.173,4
12,Virile,Territory,The Blaze,2017-04-07,321560,57,0.679,0.0442,0.679,0.462,0.793,0.0846,-10.128,0.0326,120.012,4
13,What Are You Fighting For?,Across Six Leap Years,Tindersticks,2013-10-11,249840,44,0.697,0.505,0.697,0.191,0.55,0.0854,-16.543,0.0353,81.191,4
14,Doesn't Do Anything,The Weight,Weval,2019-03-01,257882,27,0.646,0.344,0.646,0.439,0.454,0.123,-12.477,0.0369,92.976,4
15,Linked,Linked,Bonobo,2019-07-01,369461,59,0.713,0.539,0.713,0.725,0.886,0.111,-9.951,0.0385,122.041,4
16,Lou,Mirapolis,Rone,2017-11-03,222586,44,0.273,0.164,0.273,0.565,0.88,0.0975,-9.199,0.0371,115.818,4
17,Ffunny Ffriends,Unknown Mortal Orchestra,Unknown Mortal Orchestra,2011,256839,48,0.694,0.208,0.694,0.893,0.849,0.0869,-4.673,0.0746,90.968,4
18,Wings,Chrome Sparks,Chrome Sparks,2018-04-13,339106,23,0.521,0.0474,0.521,0.706,0.737,0.143,-10.663,0.0395,110.007,4
19,8 Ball,1992 - 2012,Underworld,2014-01-01,538080,51,0.685,0.602,0.685,0.464,0.823,0.11,-15.19,0.044,99.998,4
20,Earthquake,Ylang Ylang EP,FKJ,2019-11-12,162362,47,0.389,0.851,0.389,0.378,0.0464,0.12,-12.547,0.159,82.276,1
21,Tired,666,Sugar Candy Mountain,2016-07-08,218552,40,0.636,0.238,0.636,0.592,0.12,0.239,-7.69,0.029,104.274,4
22,Territory,Territory,The Blaze,2017-04-07,276373,64,0.563,0.286,0.563,0.44,0.683,0.269,-11.943,0.0822,120.009,4
23,Goodnight Moon,Volta,Boogie Belgique,2016-09-23,264735,50,0.788,0.0616,0.788,0.675,0.711,0.1,-8.591,0.0318,107.993,4
24,Mumma Don't Tell,A Louder Silence,Leifur James,2018-10-05,308252,51,0.587,0.361,0.587,0.295,0.811,0.103,-11.047,0.0637,107.988,4
25,Heaven,Dancehall,The Blaze,2018-09-07,219280,57,0.613,0.0257,0.613,0.461,0.75,0.0776,-10.493,0.0313,125.066,4
26,Noizy Birdz,Cobra Gypsies (Motion Picture Soundtrack),Raphael Treza,2018-01-12,225540,40,0.66,0.218,0.66,0.58,0.345,0.428,-8.939,0.0271,103.001,4
27,Brazil,Brazil,Declan McKenna,2015-12-04,252306,58,0.689,0.0918,0.689,0.617,2.02e-05,0.0816,-5.196,0.0289,121.062,4
28,Welcome State,Welcome State,Elder Island,2017-05-12,270476,1,0.666,0.334,0.666,0.432,0.0289,0.11,-8.788,0.0323,95.985,4
29,Break Well,Cold Spring Fault Less Youth,Mount Kimbie,2013-05-27,222266,40,0.282,0.857,0.282,0.478,0.908,0.131,-7.944,0.0429,119.902,4
30,Valleys (My Love),Valleys (My Love),Whitney,2019-07-17,236453,0,0.57,0.632,0.57,0.61,0.567,0.099,-7.146,0.0347,88.674,4
31,Huacachina,Kitsuné Parisien 4,Various Artists,2017-05-11,213864,42,0.784,0.438,0.784,0.65,0.165,0.135,-5.419,0.0283,110.019,4
32,Ellipsis,Ellipsis,Joy Orbison,2012-05-31,307500,32,0.855,0.00747,0.855,0.781,0.104,0.248,-8.014,0.138,127.992,4
33,It's Time to Wake Up 2023,Psycho Tropical Berlin,La Femme,2013-04-20,411440,50,0.675,0.314,0.675,0.585,0.666,0.0888,-6.886,0.0264,109.982,4
34,Harvest Moon,Harvest Moon,Neil Young,1992-11-02,303213,70,0.648,0.526,0.648,0.309,0.000249,0.124,-12.432,0.0264,112.929,4
35,Every Time,Volta,Boogie Belgique,2016-09-23,241743,55,0.675,0.0754,0.675,0.603,0.319,0.165,-6.985,0.0413,79.003,4
36,Midnight Mischief - Tom Misch Remix,Midnight Mischief (Tom Misch Remix),Jordan Rakei,2016-09-19,266086,63,0.546,0.492,0.546,0.404,0.0269,0.115,-7.441,0.0353,92.07,4
37,I'll Come Too,Assume Form,James Blake,2019-01-18,222400,57,0.661,0.757,0.661,0.472,0.00275,0.192,-7.889,0.164,73.986,4
38,Moon,Play Me Again,Kid Francescoli,2017-03-03,390638,0,0.663,0.295,0.663,0.658,0.867,0.102,-10.001,0.0345,117.986,4
39,Of My Mind,When Love Hurts,Pional,2016-09-30,252598,41,0.717,0.284,0.717,0.486,0.536,0.348,-11.511,0.0473,121.05,4
40,Peaceful Life,Eternal,Guts,2016-04-01,246266,58,0.849,0.0264,0.849,0.678,0.0408,0.284,-7.781,0.0344,108.681,4
41,Pista (Great Start),Pista (Great Start) - Single,Los Bitchos,2019-08-12,205680,40,0.705,0.421,0.705,0.888,0.022,0.796,-3.942,0.0301,91.028,4
42,Sweet Virginia,Exile On Main Street (2010 Re-Mastered),The Rolling Stones,1972-05-12,266560,57,0.477,0.502,0.477,0.74,1.31e-06,0.263,-5.397,0.0446,107.384,4
43,Ponto das Caboclas - Bônus Track,Mangas e Bananas para o Meu Amor,Camila Costa,2018-02-16,204906,18,0.425,0.684,0.425,0.647,2.53e-06,0.111,-9.667,0.0932,128.072,5
44,Light (High As You Can),Light,Pépe,2019-02-15,331720,0,0.741,0.000176,0.741,0.845,0.902,0.105,-10.108,0.0557,127.982,4
45,Golden Cage,Dreams,The Whitest Boy Alive,2006-09-04,242440,49,0.835,0.137,0.835,0.693,0.492,0.136,-6.521,0.0374,119.699,4
46,The Amputees,No Treasure But Hope,Tindersticks,2019-11-15,207386,30,0.275,0.862,0.275,0.367,0.000444,0.0995,-11.095,0.0376,69.051,4
47,Meet Your Maker,Meet Your Maker,Club Kuru,2019-05-03,389000,33,0.404,0.0541,0.404,0.486,0.17,0.105,-7.91,0.0293,134.073,4
48,The River,Quarters!,King Gizzard & The Lizard Wizard,2015-05-01,610253,15,0.485,0.531,0.485,0.737,0.502,0.192,-4.553,0.0419,115.027,4
49,Manifest (Feat. Erika Wennerstrom),Manifest (Feat. Erika Wennerstrom),Andrew Bird,2019-11-21,281586,38,0.563,0.388,0.563,0.677,0.0,0.11,-4.425,0.0326,106.751,4
50,One More Year,The Slow Rush,Tame Impala,2020-02-14,324013,60,0.602,0.057,0.602,0.88,0.46,0.284,-5.414,0.0354,114.009,4
51,Fade Into You,So Tonight That I Might See,Mazzy Star,1993-10-05,295600,71,0.42,0.245,0.42,0.33,0.000679,0.0677,-13.925,0.0275,157.143,3
